Week #,Starting Date,Total Value,Num Datapoints,Average Value,Average Value /7
90,9/18/2011,4.546333962,7,0.6494762802,0.6494762802
91,9/25/2011,3.429930372,7,0.4899900531,0.4899900531
92,10/2/2011,1.973007284,7,0.2818581834,0.2818581834
93,10/9/2011,2.961805072,7,0.4231150102,0.4231150102
94,10/16/2011,4.348693253,7,0.6212418933,0.6212418933
95,10/23/2011,4.323026425,7,0.6175752036,0.6175752036
96,10/30/2011,3.131700146,7,0.4473857351,0.4473857351
97,11/6/2011,2.403318589,7,0.3433312269,0.3433312269
98,11/13/2011,2.405107228,7,0.3435867469,0.3435867469
99,11/20/2011,0.995587389,7,0.1422267699,0.1422267699
100,11/27/2011,3.83895609,7,0.5484222986,0.5484222986
101,12/4/2011,4.105278619,7,0.5864683741,0.5864683741
102,12/11/2011,3.379340478,7,0.4827629254,0.4827629254
103,12/18/2011,3.640292772,7,0.5200418246,0.5200418246
104,12/25/2011,1.95544371,7,0.2793491014,0.2793491014
105,1/1/2012,3.238400175,7,0.4626285965,0.4626285965
106,1/8/2012,3.923165299,7,0.5604521856,0.5604521856
107,1/15/2012,1.694977133,7,0.2421395904,0.2421395904
108,1/22/2012,1.318165841,7,0.1883094058,0.1883094058
109,1/29/2012,3.14317164,7,0.44902452,0.44902452
110,2/5/2012,2.194726923,7,0.3135324176,0.3135324176
111,2/12/2012,3.083850391,7,0.4405500559,0.4405500559
112,2/19/2012,2.92927107,7,0.4184672957,0.4184672957
113,2/26/2012,1.588799349,7,0.2269713356,0.2269713356
114,3/4/2012,3.417614025,7,0.488230575,0.488230575
115,3/11/2012,0.5440839555,7,0.07772627935,0.07772627935
116,3/18/2012,0.7666904218,7,0.1095272031,0.1095272031
117,3/25/2012,0.3421056767,7,0.04887223953,0.04887223953
118,4/1/2012,1.694455493,6,0.2824092489,0.2420650705
119,4/8/2012,0.9877564416,7,0.1411080631,0.1411080631
120,4/15/2012,2.280348172,7,0.3257640245,0.3257640245
121,4/22/2012,2.926866,7,0.4181237142,0.4181237142
122,4/29/2012,2.514954628,7,0.3592792326,0.3592792326
123,5/6/2012,3.83843358,6,0.63973893,0.5483476543
124,5/13/2012,3.970072695,7,0.5671532421,0.5671532421
125,5/20/2012,2.917291768,7,0.4167559668,0.4167559668
126,5/27/2012,4.105151251,7,0.5864501787,0.5864501787
127,6/3/2012,2.981602034,7,0.4259431477,0.4259431477
128,6/10/2012,4.385557066,7,0.6265081522,0.6265081522
129,6/17/2012,3.646026925,7,0.5208609892,0.5208609892
130,6/24/2012,4.173787403,7,0.5962553433,0.5962553433
131,7/1/2012,4.37401475,7,0.62485925,0.62485925
132,7/8/2012,4.517355761,7,0.6453365373,0.6453365373
133,7/15/2012,3.687421913,7,0.5267745591,0.5267745591
134,7/22/2012,4.423062118,7,0.6318660169,0.6318660169
135,7/29/2012,4.417637772,7,0.6310911103,0.6310911103
136,8/5/2012,4.436625082,7,0.6338035831,0.6338035831
137,8/12/2012,3.963019737,7,0.5661456767,0.5661456767
138,8/19/2012,4.159277031,7,0.594182433,0.594182433
139,8/26/2012,4.2291053,7,0.6041579,0.6041579
140,9/2/2012,4.276633204,7,0.6109476006,0.6109476006
141,9/9/2012,4.018925964,7,0.5741322805,0.5741322805
142,9/16/2012,4.353655464,7,0.6219507806,0.6219507806
143,9/23/2012,4.11690786,7,0.5881296942,0.5881296942
144,9/30/2012,4.047905109,7,0.5782721584,0.5782721584
145,10/7/2012,3.60045487,7,0.5143506957,0.5143506957
146,10/14/2012,3.870984963,7,0.5529978518,0.5529978518
147,10/21/2012,2.3071053,7,0.3295864715,0.3295864715
148,10/28/2012,2.710493233,7,0.387213319,0.387213319
149,11/4/2012,2.750711234,7,0.3929587477,0.3929587477
150,11/11/2012,1.114467962,7,0.1592097088,0.1592097088
151,11/18/2012,1.888792869,7,0.2698275528,0.2698275528
152,11/25/2012,1.360058485,7,0.1942940693,0.1942940693
153,12/2/2012,1.929456144,7,0.275636592,0.275636592
154,12/9/2012,2.322585913,7,0.3317979876,0.3317979876
155,12/16/2012,1.057687101,6,0.1762811836,0.1510981573
156,12/23/2012,1.040159768,7,0.1485942526,0.1485942526
157,12/30/2012,2.12970735,7,0.3042439071,0.3042439071
158,1/6/2013,1.886732119,7,0.2695331598,0.2695331598
159,1/13/2013,3.245658455,7,0.4636654936,0.4636654936
160,1/20/2013,1.587028795,7,0.2267183993,0.2267183993
161,1/27/2013,2.444536138,7,0.3492194483,0.3492194483
162,2/3/2013,2.713934396,7,0.3877049137,0.3877049137
163,2/10/2013,3.487325433,7,0.4981893475,0.4981893475
164,2/17/2013,2.457798906,7,0.3511141294,0.3511141294
165,2/24/2013,2.47523352,7,0.3536047885,0.3536047885
166,3/3/2013,2.087376155,7,0.2981965936,0.2981965936
167,3/10/2013,3.159607747,7,0.4513725353,0.4513725353
168,3/17/2013,2.732328766,7,0.3903326809,0.3903326809
169,3/24/2013,1.850808216,7,0.2644011738,0.2644011738
170,3/31/2013,1.28040742,7,0.1829153457,0.1829153457
171,4/7/2013,3.236442715,7,0.4623489593,0.4623489593
172,4/14/2013,3.540961173,7,0.5058515962,0.5058515962
173,4/21/2013,4.408034722,7,0.629719246,0.629719246
174,4/28/2013,4.113620812,7,0.587660116,0.587660116
175,5/5/2013,1.960189932,7,0.2800271331,0.2800271331
176,5/12/2013,3.154617854,7,0.4506596934,0.4506596934
177,5/19/2013,4.315509809,7,0.6165014012,0.6165014012
178,5/26/2013,3.333895422,7,0.4762707746,0.4762707746
179,6/2/2013,4.403727281,7,0.6291038972,0.6291038972
180,6/9/2013,3.726853273,7,0.5324076104,0.5324076104
181,6/16/2013,3.941021979,7,0.5630031399,0.5630031399
182,6/23/2013,2.172770332,7,0.3103957617,0.3103957617
183,6/30/2013,4.336113022,7,0.6194447174,0.6194447174
184,7/7/2013,4.473298001,7,0.6390425716,0.6390425716
185,7/14/2013,4.341607189,7,0.6202295984,0.6202295984
186,7/21/2013,3.360840543,6,0.5601400905,0.4801200776
187,7/28/2013,4.022866125,7,0.5746951607,0.5746951607
188,8/4/2013,4.001091767,7,0.5715845382,0.5715845382
189,8/11/2013,4.241890873,7,0.6059844104,0.6059844104
190,8/18/2013,3.388594576,7,0.4840849394,0.4840849394
191,8/25/2013,4.197176039,7,0.5995965771,0.5995965771
192,9/1/2013,4.091278589,7,0.5844683699,0.5844683699
193,9/8/2013,3.997187882,7,0.5710268403,0.5710268403
194,9/15/2013,3.378974696,7,0.4827106709,0.4827106709
195,9/22/2013,2.614456594,7,0.3734937991,0.3734937991
196,9/29/2013,3.203403116,7,0.4576290165,0.4576290165
197,10/6/2013,3.429206334,7,0.4898866191,0.4898866191
198,10/13/2013,4.123622935,7,0.5890889907,0.5890889907
199,10/20/2013,4.244342389,7,0.6063346271,0.6063346271
200,10/27/2013,2.676138607,7,0.3823055153,0.3823055153
201,11/3/2013,3.056186051,7,0.4365980072,0.4365980072
202,11/10/2013,3.258884565,7,0.4655549379,0.4655549379
203,11/17/2013,2.508827247,7,0.3584038924,0.3584038924
204,11/24/2013,3.417868121,7,0.4882668745,0.4882668745
205,12/1/2013,2.539528886,7,0.3627898409,0.3627898409
206,12/8/2013,3.555284336,7,0.5078977623,0.5078977623
207,12/15/2013,3.545343807,7,0.5064776867,0.5064776867
208,12/22/2013,3.76984353,7,0.5385490758,0.5385490758
209,12/29/2013,3.732182509,7,0.5331689299,0.5331689299
210,1/5/2014,1.699652287,7,0.2428074696,0.2428074696
211,1/12/2014,4.030053046,7,0.5757218637,0.5757218637
212,1/19/2014,4.038315934,7,0.5769022763,0.5769022763
213,1/26/2014,2.382220846,7,0.3403172638,0.3403172638
214,2/2/2014,1.736951116,7,0.2481358737,0.2481358737
215,2/9/2014,0.9160446785,7,0.1308635255,0.1308635255
216,2/16/2014,3.750680795,7,0.5358115421,0.5358115421
217,2/23/2014,2.025902078,7,0.2894145826,0.2894145826
218,3/2/2014,1.148623221,7,0.1640890316,0.1640890316
219,3/9/2014,2.817305408,6,0.4695509013,0.4024722011
220,3/16/2014,4.075385786,7,0.5821979694,0.5821979694
221,3/23/2014,1.460314414,7,0.2086163448,0.2086163448
222,3/30/2014,1.125503599,7,0.1607862284,0.1607862284
223,4/6/2014,4.212948141,7,0.6018497344,0.6018497344
224,4/13/2014,3.775090116,7,0.5392985881,0.5392985881
225,4/20/2014,2.107994776,7,0.3011421109,0.3011421109
226,4/27/2014,3.32362241,7,0.4748032014,0.4748032014
227,5/4/2014,2.465474464,7,0.3522106377,0.3522106377
228,5/11/2014,4.243800919,7,0.6062572742,0.6062572742
229,5/18/2014,3.714235239,7,0.5306050341,0.5306050341
230,5/25/2014,4.22567442,7,0.6036677744,0.6036677744
231,6/1/2014,4.40251334,7,0.6289304772,0.6289304772
232,6/8/2014,3.918253124,7,0.5597504462,0.5597504462
233,6/15/2014,4.308258878,7,0.615465554,0.615465554
234,6/22/2014,2.931549182,7,0.4187927402,0.4187927402
235,6/29/2014,4.324378009,7,0.617768287,0.617768287
236,7/6/2014,3.312521821,7,0.4732174031,0.4732174031
237,7/13/2014,3.513445864,7,0.5019208377,0.5019208377
238,7/20/2014,3.922130757,7,0.5603043939,0.5603043939
239,7/27/2014,3.584596201,7,0.5120851715,0.5120851715
240,8/3/2014,2.79573191,7,0.3993902729,0.3993902729
241,8/10/2014,3.466646187,7,0.4952351696,0.4952351696
242,8/17/2014,4.227328044,7,0.6039040062,0.6039040062
243,8/24/2014,3.876687406,7,0.5538124866,0.5538124866
244,8/31/2014,4.079509114,7,0.5827870163,0.5827870163
245,9/7/2014,3.982544501,7,0.5689349287,0.5689349287
246,9/14/2014,3.635841103,7,0.5194058718,0.5194058718
247,9/21/2014,2.611366373,7,0.373052339,0.373052339
248,9/28/2014,3.729753447,7,0.532821921,0.532821921
249,10/5/2014,4.337811261,7,0.619687323,0.619687323
250,10/12/2014,2.611560654,7,0.3730800934,0.3730800934
251,10/19/2014,1.59784096,7,0.2282629943,0.2282629943
252,10/26/2014,2.590085338,7,0.3700121911,0.3700121911
253,11/2/2014,4.103438638,7,0.5862055197,0.5862055197
254,11/9/2014,2.477947284,7,0.3539924692,0.3539924692
255,11/16/2014,1.380785511,7,0.197255073,0.197255073
256,11/23/2014,1.685365491,7,0.2407664987,0.2407664987
257,11/30/2014,0.1232666123,7,0.01760951604,0.01760951604
258,12/7/2014,0.4400320622,7,0.06286172317,0.06286172317
259,12/14/2014,0.2137839791,7,0.03054056845,0.03054056845
260,12/21/2014,3.031684437,7,0.4330977767,0.4330977767
261,12/28/2014,4.184324012,7,0.5977605732,0.5977605732
262,1/4/2015,2.459287506,7,0.3513267866,0.3513267866
263,1/11/2015,1.415056806,7,0.2021509723,0.2021509723
264,1/18/2015,3.588613485,7,0.5126590693,0.5126590693
265,1/25/2015,3.249495139,7,0.4642135913,0.4642135913
266,2/1/2015,0.669481453,7,0.09564020757,0.09564020757
267,2/8/2015,1.80484098,7,0.2578344257,0.2578344257
268,2/15/2015,3.856273981,7,0.550896283,0.550896283
269,2/22/2015,3.469606189,7,0.495658027,0.495658027
270,3/1/2015,3.99716832,7,0.5710240457,0.5710240457
271,3/8/2015,2.383150652,7,0.3404500932,0.3404500932
272,3/15/2015,2.526738054,7,0.3609625792,0.3609625792
273,3/22/2015,2.897460818,7,0.413922974,0.413922974
274,3/29/2015,3.644734139,7,0.5206763055,0.5206763055
275,4/5/2015,1.496180213,7,0.2137400305,0.2137400305
276,4/12/2015,4.41855484,7,0.63122212,0.63122212
277,4/19/2015,3.619839481,7,0.5171199258,0.5171199258
278,4/26/2015,4.414388684,7,0.6306269549,0.6306269549
279,5/3/2015,4.119775637,7,0.5885393767,0.5885393767
280,5/10/2015,1.955829631,7,0.279404233,0.279404233
281,5/17/2015,1.625000124,7,0.2321428748,0.2321428748
282,5/24/2015,3.712445073,7,0.5303492961,0.5303492961
283,5/31/2015,3.256918651,7,0.465274093,0.465274093
284,6/7/2015,4.224560213,7,0.6035086018,0.6035086018
285,6/14/2015,4.139969718,7,0.5914242454,0.5914242454
286,6/21/2015,4.124178485,7,0.589168355,0.589168355
287,6/28/2015,3.147051356,7,0.4495787651,0.4495787651
288,7/5/2015,2.341756614,7,0.3345366592,0.3345366592
289,7/12/2015,3.833383565,7,0.5476262235,0.5476262235
290,7/19/2015,4.065933025,7,0.580847575,0.580847575
291,7/26/2015,4.081950367,7,0.5831357667,0.5831357667
292,8/2/2015,3.848366386,7,0.5497666265,0.5497666265
293,8/9/2015,4.038306126,7,0.5769008751,0.5769008751
294,8/16/2015,4.089028037,7,0.5841468625,0.5841468625
295,8/23/2015,3.446745997,7,0.4923922852,0.4923922852
296,8/30/2015,3.882424588,7,0.5546320839,0.5546320839
297,9/6/2015,3.978883214,7,0.5684118878,0.5684118878
298,9/13/2015,2.095577149,7,0.2993681641,0.2993681641
299,9/20/2015,4.324311213,7,0.6177587448,0.6177587448
300,9/27/2015,3.317003813,7,0.4738576875,0.4738576875
301,10/4/2015,3.518823892,7,0.5026891275,0.5026891275
302,10/11/2015,3.445179705,7,0.4921685293,0.4921685293
303,10/18/2015,3.338684796,7,0.4769549709,0.4769549709
304,10/25/2015,3.016156956,7,0.4308795652,0.4308795652
305,11/1/2015,3.028614106,7,0.432659158,0.432659158
306,11/8/2015,2.768967393,7,0.3955667704,0.3955667704
307,11/15/2015,2.807747622,7,0.4011068031,0.4011068031
308,11/22/2015,2.769395068,7,0.3956278669,0.3956278669
309,11/29/2015,1.309464846,7,0.1870664066,0.1870664066
310,12/6/2015,0.3634910389,7,0.05192729128,0.05192729128
311,12/13/2015,1.896476566,7,0.2709252237,0.2709252237
312,12/20/2015,1.411224451,7,0.2016034931,0.2016034931
313,12/27/2015,2.176259246,7,0.310894178,0.310894178
314,1/3/2016,0.5083436027,7,0.07262051467,0.07262051467
315,1/10/2016,0.8688800931,7,0.1241257276,0.1241257276
316,1/17/2016,0.3267540528,7,0.0466791504,0.0466791504
317,1/24/2016,1.735321575,7,0.2479030822,0.2479030822
318,1/31/2016,1.995266994,7,0.285038142,0.285038142
319,2/7/2016,2.753565679,7,0.3933665256,0.3933665256
320,2/14/2016,0.5050180735,3,0.1683393578,0.07214543907
321,2/21/2016,0,0,0,0
322,2/28/2016,1.056481636,7,0.1509259479,0.1509259479
323,3/6/2016,0.31560676,7,0.04508668,0.04508668
324,3/13/2016,2.76405694,7,0.3948652772,0.3948652772
325,3/20/2016,1.780676608,7,0.2543823726,0.2543823726
326,3/27/2016,3.116480414,7,0.4452114877,0.4452114877
327,4/3/2016,3.307042259,7,0.4724346084,0.4724346084
328,4/10/2016,1.985492044,7,0.2836417205,0.2836417205
329,4/17/2016,2.811496585,7,0.4016423693,0.4016423693
330,4/24/2016,2.78097088,7,0.3972815543,0.3972815543
331,5/1/2016,1.79767868,7,0.25681124,0.25681124
332,5/8/2016,3.511288725,7,0.5016126749,0.5016126749
333,5/15/2016,3.01945382,7,0.4313505457,0.4313505457
334,5/22/2016,2.99493684,7,0.42784812,0.42784812
335,5/29/2016,3.928382867,7,0.5611975524,0.5611975524
336,6/5/2016,3.619136167,7,0.5170194524,0.5170194524
337,6/12/2016,2.721277358,7,0.3887539083,0.3887539083
338,6/19/2016,4.602083106,7,0.6574404438,0.6574404438
339,6/26/2016,4.583915946,7,0.6548451351,0.6548451351
340,7/3/2016,3.511170197,7,0.5015957424,0.5015957424
341,7/10/2016,4.464264716,7,0.6377521023,0.6377521023
342,7/17/2016,4.483162653,7,0.6404518076,0.6404518076
343,7/24/2016,4.456149075,7,0.636592725,0.636592725
344,7/31/2016,4.407284821,7,0.6296121172,0.6296121172
345,8/7/2016,4.361860571,7,0.6231229387,0.6231229387
346,8/14/2016,4.310679821,7,0.615811403,0.615811403
347,8/21/2016,4.362543745,7,0.623220535,0.623220535
348,8/28/2016,3.953749705,7,0.5648213864,0.5648213864
349,9/4/2016,4.322293799,7,0.6174705426,0.6174705426
350,9/11/2016,3.920951711,7,0.5601359588,0.5601359588
351,9/18/2016,3.515500758,7,0.502214394,0.502214394
352,9/25/2016,3.917188926,7,0.559598418,0.559598418
353,10/2/2016,2.851571305,7,0.4073673292,0.4073673292
354,10/9/2016,2.476159894,7,0.3537371277,0.3537371277
355,10/16/2016,2.767590974,7,0.3953701391,0.3953701391
356,10/23/2016,0.7990839848,7,0.114154855,0.114154855
357,10/30/2016,2.546548262,7,0.3637926089,0.3637926089
358,11/6/2016,2.342133416,7,0.334590488,0.334590488
359,11/13/2016,2.692526254,7,0.3846466077,0.3846466077
360,11/20/2016,1.041425535,7,0.1487750764,0.1487750764
361,11/27/2016,2.184184456,7,0.3120263509,0.3120263509
362,12/4/2016,0.9883212377,7,0.1411887482,0.1411887482
363,12/11/2016,1.938671094,7,0.2769530135,0.2769530135
364,12/18/2016,2.479451846,7,0.3542074066,0.3542074066
365,12/25/2016,3.270087268,7,0.467155324,0.467155324
366,1/1/2017,1.44270634,7,0.2061009058,0.2061009058
367,1/8/2017,1.71611255,7,0.2451589357,0.2451589357
368,1/15/2017,1.18585554,7,0.1694079343,0.1694079343
369,1/22/2017,1.743163485,7,0.249023355,0.249023355
370,1/29/2017,0.8084815512,7,0.1154973645,0.1154973645
371,2/5/2017,1.016717856,7,0.145245408,0.145245408
372,2/12/2017,1.335485119,7,0.1907835884,0.1907835884
373,2/19/2017,1.438211478,7,0.2054587825,0.2054587825
374,2/26/2017,2.307940507,7,0.3297057868,0.3297057868
375,3/5/2017,1.208475934,7,0.1726394191,0.1726394191
376,3/12/2017,2.33044858,7,0.3329212258,0.3329212258
377,3/19/2017,1.322082821,7,0.1888689744,0.1888689744
378,3/26/2017,2.660877833,7,0.3801254048,0.3801254048
379,4/2/2017,2.190273508,7,0.3128962154,0.3128962154
380,4/9/2017,1.751199527,7,0.250171361,0.250171361
381,4/16/2017,1.666549997,7,0.2380785711,0.2380785711
382,4/23/2017,2.429957881,6,0.4049929801,0.3471368401
383,4/30/2017,4.097729207,7,0.5853898867,0.5853898867
384,5/7/2017,3.493648555,7,0.4990926507,0.4990926507
385,5/14/2017,3.641587698,7,0.520226814,0.520226814
386,5/21/2017,4.322179057,7,0.617454151,0.617454151
387,5/28/2017,2.967800104,7,0.4239714434,0.4239714434
388,6/4/2017,2.927195832,7,0.4181708331,0.4181708331
389,6/11/2017,3.250706603,7,0.4643866575,0.4643866575
390,6/18/2017,4.319263915,7,0.6170377021,0.6170377021
391,6/25/2017,4.476408029,7,0.6394868613,0.6394868613
392,7/2/2017,4.50541737,7,0.6436310528,0.6436310528
393,7/9/2017,4.465277889,7,0.6378968412,0.6378968412
394,7/16/2017,4.449615564,7,0.6356593663,0.6356593663
395,7/23/2017,4.139329461,7,0.5913327801,0.5913327801
396,7/30/2017,4.115908372,7,0.5879869102,0.5879869102
397,8/6/2017,4.126274431,7,0.5894677758,0.5894677758
398,8/13/2017,4.41696917,7,0.6309955957,0.6309955957
399,8/20/2017,4.377412674,7,0.6253446677,0.6253446677
400,8/27/2017,4.104122048,7,0.5863031497,0.5863031497
401,9/3/2017,3.679606957,7,0.5256581367,0.5256581367
402,9/10/2017,3.306885069,7,0.4724121527,0.4724121527
403,9/17/2017,2.686773199,7,0.3838247427,0.3838247427
404,9/24/2017,3.681400865,7,0.5259144093,0.5259144093
405,10/1/2017,4.292406586,7,0.6132009408,0.6132009408
406,10/8/2017,4.178709119,7,0.5969584456,0.5969584456
407,10/15/2017,2.435138271,7,0.3478768959,0.3478768959
408,10/22/2017,4.302341234,7,0.6146201762,0.6146201762
409,10/29/2017,2.734618887,7,0.390659841,0.390659841
410,11/5/2017,1.017970675,7,0.1454243821,0.1454243821
411,11/12/2017,1.656810382,7,0.2366871974,0.2366871974
412,11/19/2017,0.9939178987,7,0.1419882712,0.1419882712
413,11/26/2017,1.628629072,7,0.2326612961,0.2326612961
414,12/3/2017,4.219456092,7,0.6027794417,0.6027794417
415,12/10/2017,3.690935351,7,0.5272764787,0.5272764787
416,12/17/2017,3.0890544,7,0.4412934857,0.4412934857
417,12/24/2017,2.827440161,7,0.4039200229,0.4039200229
418,12/31/2017,1.879857116,7,0.2685510166,0.2685510166
419,1/7/2018,1.501032539,7,0.2144332198,0.2144332198
420,1/14/2018,1.60476677,7,0.2292523958,0.2292523958
421,1/21/2018,0.3028513742,7,0.04326448203,0.04326448203
422,1/28/2018,2.799436176,7,0.3999194537,0.3999194537
423,2/4/2018,3.556421336,7,0.5080601909,0.5080601909
424,2/11/2018,3.411743864,7,0.4873919806,0.4873919806
425,2/18/2018,2.218138248,7,0.3168768926,0.3168768926
426,2/25/2018,1.375048078,7,0.1964354397,0.1964354397
427,3/4/2018,1.591936055,7,0.2274194365,0.2274194365
428,3/11/2018,1.106243403,7,0.1580347718,0.1580347718
429,3/18/2018,0.9583919183,7,0.1369131312,0.1369131312
430,3/25/2018,2.739360604,7,0.3913372292,0.3913372292
431,4/1/2018,1.959536076,7,0.2799337252,0.2799337252
432,4/8/2018,1.995321383,7,0.2850459118,0.2850459118
433,4/15/2018,2.392430389,7,0.3417757698,0.3417757698
434,4/22/2018,3.116916014,7,0.4452737163,0.4452737163
435,4/29/2018,2.696439996,7,0.3852057137,0.3852057137
436,5/6/2018,4.006629449,7,0.5723756356,0.5723756356
437,5/13/2018,3.447128214,7,0.4924468877,0.4924468877
438,5/20/2018,2.901575431,7,0.4145107758,0.4145107758
439,5/27/2018,4.201816447,7,0.6002594924,0.6002594924
440,6/3/2018,3.811239604,7,0.5444628005,0.5444628005
441,6/10/2018,4.480642314,7,0.6400917591,0.6400917591
442,6/17/2018,3.922044814,7,0.5602921163,0.5602921163
443,6/24/2018,4.524350815,7,0.6463358308,0.6463358308
444,7/1/2018,3.962119326,7,0.5660170465,0.5660170465
445,7/8/2018,4.087417375,7,0.5839167678,0.5839167678
446,7/15/2018,4.414573909,7,0.6306534156,0.6306534156
447,7/22/2018,3.988963918,7,0.5698519883,0.5698519883
448,7/29/2018,3.17009151,6,0.528348585,0.4528702157
449,8/5/2018,3.99156562,7,0.57022366,0.57022366
450,8/12/2018,3.94049051,7,0.5629272158,0.5629272158
451,8/19/2018,3.987721651,7,0.5696745216,0.5696745216
452,8/26/2018,3.938883821,7,0.5626976887,0.5626976887
